student_track_id,track_id,student_id,track_name,date_enrolled,date_completed,track_completed,days_for_completion,completion_bucket
1,1,6,"Data Scientist",2022-09-16,NULL,0,NULL,"Not completed"
2,3,6,"Business Analyst",2022-09-16,NULL,0,NULL,"Not completed"
3,2,20,"Data Analyst",2022-02-25,NULL,0,NULL,"Not completed"
4,2,31,"Data Analyst",2022-04-02,NULL,0,NULL,"Not completed"
5,1,209,"Data Scientist",2022-01-28,NULL,0,NULL,"Not completed"
6,3,209,"Business Analyst",2022-06-02,NULL,0,NULL,"Not completed"
7,2,221,"Data Analyst",2022-02-13,NULL,0,NULL,"Not completed"
8,2,326,"Data Analyst",2022-03-29,NULL,0,NULL,"Not completed"
9,2,353,"Data Analyst",2022-07-07,NULL,0,NULL,"Not completed"
10,2,454,"Data Analyst",2022-02-03,NULL,0,NULL,"Not completed"
11,1,492,"Data Scientist",2022-03-06,NULL,0,NULL,"Not completed"
12,2,616,"Data Analyst",2022-04-03,NULL,0,NULL,"Not completed"
13,1,702,"Data Scientist",2022-05-21,NULL,0,NULL,"Not completed"
14,1,704,"Data Scientist",2022-08-11,NULL,0,NULL,"Not completed"
15,3,768,"Business Analyst",2022-07-20,NULL,0,NULL,"Not completed"
16,1,801,"Data Scientist",2022-01-16,NULL,0,NULL,"Not completed"
17,2,801,"Data Analyst",2022-01-17,NULL,0,NULL,"Not completed"
18,3,801,"Business Analyst",2022-01-17,NULL,0,NULL,"Not completed"
19,2,813,"Data Analyst",2022-01-20,NULL,0,NULL,"Not completed"
20,2,816,"Data Analyst",2022-01-04,NULL,0,NULL,"Not completed"
21,2,872,"Data Analyst",2022-09-27,NULL,0,NULL,"Not completed"
22,1,893,"Data Scientist",2022-07-20,NULL,0,NULL,"Not completed"
23,1,897,"Data Scientist",2022-08-19,NULL,0,NULL,"Not completed"
24,2,911,"Data Analyst",2022-03-22,NULL,0,NULL,"Not completed"
25,1,1019,"Data Scientist",2022-03-27,NULL,0,NULL,"Not completed"
26,2,1019,"Data Analyst",2022-03-05,NULL,0,NULL,"Not completed"
27,3,1019,"Business Analyst",2022-05-11,NULL,0,NULL,"Not completed"
28,3,1035,"Business Analyst",2022-01-10,NULL,0,NULL,"Not completed"
29,2,1099,"Data Analyst",2022-01-27,NULL,0,NULL,"Not completed"
30,1,1102,"Data Scientist",2022-01-16,NULL,0,NULL,"Not completed"
31,2,1102,"Data Analyst",2022-01-16,NULL,0,NULL,"Not completed"
32,3,1102,"Business Analyst",2022-01-16,NULL,0,NULL,"Not completed"
33,2,1159,"Data Analyst",2022-06-01,NULL,0,NULL,"Not completed"
34,3,1173,"Business Analyst",2022-09-11,NULL,0,NULL,"Not completed"
35,1,1221,"Data Scientist",2022-03-23,NULL,0,NULL,"Not completed"
36,1,1235,"Data Scientist",2022-03-15,NULL,0,NULL,"Not completed"
37,2,1246,"Data Analyst",2022-05-16,NULL,0,NULL,"Not completed"
38,2,1270,"Data Analyst",2022-09-12,NULL,0,NULL,"Not completed"
39,2,1289,"Data Analyst",2022-07-12,NULL,0,NULL,"Not completed"
40,2,1306,"Data Analyst",2022-10-09,NULL,0,NULL,"Not completed"
41,2,1314,"Data Analyst",2022-06-24,NULL,0,NULL,"Not completed"
42,1,1362,"Data Scientist",2022-10-16,NULL,0,NULL,"Not completed"
43,3,1363,"Business Analyst",2022-04-16,NULL,0,NULL,"Not completed"
44,1,1370,"Data Scientist",2022-08-15,NULL,0,NULL,"Not completed"
45,1,1411,"Data Scientist",2022-02-14,NULL,0,NULL,"Not completed"
46,1,1468,"Data Scientist",2022-09-14,NULL,0,NULL,"Not completed"
47,1,1486,"Data Scientist",2022-02-06,NULL,0,NULL,"Not completed"
48,2,1486,"Data Analyst",2022-09-04,NULL,0,NULL,"Not completed"
49,3,1498,"Business Analyst",2022-04-03,NULL,0,NULL,"Not completed"
50,2,1500,"Data Analyst",2022-07-20,NULL,0,NULL,"Not completed"
51,2,1501,"Data Analyst",2022-08-23,NULL,0,NULL,"Not completed"
52,2,1503,"Data Analyst",2022-04-01,NULL,0,NULL,"Not completed"
53,1,1517,"Data Scientist",2022-01-22,NULL,0,NULL,"Not completed"
54,2,1517,"Data Analyst",2022-01-20,NULL,0,NULL,"Not completed"
55,2,1521,"Data Analyst",2022-04-05,2023-05-16,1,406,"366+ days"
56,1,1522,"Data Scientist",2022-04-27,NULL,0,NULL,"Not completed"
57,3,1522,"Business Analyst",2022-04-27,NULL,0,NULL,"Not completed"
58,1,1537,"Data Scientist",2022-02-14,NULL,0,NULL,"Not completed"
59,1,1538,"Data Scientist",2022-08-23,NULL,0,NULL,"Not completed"
60,2,1538,"Data Analyst",2022-08-22,NULL,0,NULL,"Not completed"
61,3,1538,"Business Analyst",2022-08-23,NULL,0,NULL,"Not completed"
62,1,1540,"Data Scientist",2022-01-14,NULL,0,NULL,"Not completed"
63,1,1552,"Data Scientist",2022-03-15,NULL,0,NULL,"Not completed"
64,2,1559,"Data Analyst",2022-02-01,NULL,0,NULL,"Not completed"
65,3,1561,"Business Analyst",2022-08-07,NULL,0,NULL,"Not completed"
66,1,1563,"Data Scientist",2022-06-26,NULL,0,NULL,"Not completed"
67,2,1578,"Data Analyst",2022-01-12,NULL,0,NULL,"Not completed"
68,2,1600,"Data Analyst",2022-03-07,NULL,0,NULL,"Not completed"
69,1,1791,"Data Scientist",2022-07-28,NULL,0,NULL,"Not completed"
70,2,1795,"Data Analyst",2022-01-03,NULL,0,NULL,"Not completed"
71,2,1802,"Data Analyst",2022-06-27,NULL,0,NULL,"Not completed"
72,1,1809,"Data Scientist",2022-09-27,NULL,0,NULL,"Not completed"
73,3,1852,"Business Analyst",2022-04-15,NULL,0,NULL,"Not completed"
74,2,1863,"Data Analyst",2022-02-14,NULL,0,NULL,"Not completed"
75,2,1866,"Data Analyst",2022-03-16,NULL,0,NULL,"Not completed"
76,1,1879,"Data Scientist",2022-05-09,NULL,0,NULL,"Not completed"
77,2,1879,"Data Analyst",2022-05-09,NULL,0,NULL,"Not completed"
78,3,1879,"Business Analyst",2022-05-09,NULL,0,NULL,"Not completed"
79,1,1901,"Data Scientist",2022-07-15,NULL,0,NULL,"Not completed"
80,2,1901,"Data Analyst",2022-10-08,NULL,0,NULL,"Not completed"
81,2,1909,"Data Analyst",2022-08-24,NULL,0,NULL,"Not completed"
82,3,1909,"Business Analyst",2022-07-14,NULL,0,NULL,"Not completed"
83,2,1914,"Data Analyst",2022-03-26,NULL,0,NULL,"Not completed"
84,2,1949,"Data Analyst",2022-08-11,NULL,0,NULL,"Not completed"
85,3,1949,"Business Analyst",2022-08-15,NULL,0,NULL,"Not completed"
86,2,1956,"Data Analyst",2022-06-02,NULL,0,NULL,"Not completed"
87,2,2014,"Data Analyst",2022-04-20,NULL,0,NULL,"Not completed"
88,3,2014,"Business Analyst",2022-04-20,NULL,0,NULL,"Not completed"
89,2,2018,"Data Analyst",2022-06-02,NULL,0,NULL,"Not completed"
90,2,2019,"Data Analyst",2022-01-18,NULL,0,NULL,"Not completed"
91,1,2073,"Data Scientist",2022-01-01,NULL,0,NULL,"Not completed"
92,1,2084,"Data Scientist",2022-06-26,NULL,0,NULL,"Not completed"
93,2,2084,"Data Analyst",2022-06-26,NULL,0,NULL,"Not completed"
94,1,2091,"Data Scientist",2022-09-09,NULL,0,NULL,"Not completed"
95,2,2091,"Data Analyst",2022-06-12,NULL,0,NULL,"Not completed"
96,1,2110,"Data Scientist",2022-09-26,NULL,0,NULL,"Not completed"
97,1,2112,"Data Scientist",2022-01-17,NULL,0,NULL,"Not completed"
98,1,2113,"Data Scientist",2022-09-13,NULL,0,NULL,"Not completed"
99,1,2114,"Data Scientist",2022-01-16,NULL,0,NULL,"Not completed"
100,3,2114,"Business Analyst",2022-01-16,NULL,0,NULL,"Not completed"
101,2,2134,"Data Analyst",2022-06-24,NULL,0,NULL,"Not completed"
102,2,2222,"Data Analyst",2022-03-04,NULL,0,NULL,"Not completed"
103,1,2255,"Data Scientist",2022-01-24,NULL,0,NULL,"Not completed"
104,2,2259,"Data Analyst",2022-09-20,NULL,0,NULL,"Not completed"
105,3,2259,"Business Analyst",2022-09-20,NULL,0,NULL,"Not completed"
106,1,2264,"Data Scientist",2022-04-30,NULL,0,NULL,"Not completed"
107,1,2292,"Data Scientist",2022-01-09,NULL,0,NULL,"Not completed"
108,2,2292,"Data Analyst",2022-05-19,NULL,0,NULL,"Not completed"
109,2,2295,"Data Analyst",2022-05-24,NULL,0,NULL,"Not completed"
110,3,2307,"Business Analyst",2022-01-23,NULL,0,NULL,"Not completed"
111,3,2353,"Business Analyst",2022-06-30,NULL,0,NULL,"Not completed"
112,1,2397,"Data Scientist",2022-09-02,NULL,0,NULL,"Not completed"
113,2,2431,"Data Analyst",2022-05-24,NULL,0,NULL,"Not completed"
114,1,2473,"Data Scientist",2022-08-13,NULL,0,NULL,"Not completed"
115,1,2611,"Data Scientist",2022-08-11,NULL,0,NULL,"Not completed"
116,3,2617,"Business Analyst",2022-01-29,NULL,0,NULL,"Not completed"
117,2,2620,"Data Analyst",2022-04-24,NULL,0,NULL,"Not completed"
118,2,2629,"Data Analyst",2022-04-05,NULL,0,NULL,"Not completed"
119,1,2649,"Data Scientist",2022-07-03,NULL,0,NULL,"Not completed"
120,1,2690,"Data Scientist",2022-09-08,NULL,0,NULL,"Not completed"
121,2,2701,"Data Analyst",2022-07-16,NULL,0,NULL,"Not completed"
122,3,2702,"Business Analyst",2022-05-07,NULL,0,NULL,"Not completed"
123,2,2731,"Data Analyst",2022-01-12,NULL,0,NULL,"Not completed"
124,2,2827,"Data Analyst",2022-01-27,NULL,0,NULL,"Not completed"
125,1,2881,"Data Scientist",2022-06-10,NULL,0,NULL,"Not completed"
126,1,2938,"Data Scientist",2022-03-09,NULL,0,NULL,"Not completed"
127,1,2945,"Data Scientist",2022-02-16,NULL,0,NULL,"Not completed"
128,1,2954,"Data Scientist",2022-03-06,NULL,0,NULL,"Not completed"
129,2,2971,"Data Analyst",2022-06-19,NULL,0,NULL,"Not completed"
130,1,3002,"Data Scientist",2022-01-07,NULL,0,NULL,"Not completed"
131,2,3002,"Data Analyst",2022-01-07,NULL,0,NULL,"Not completed"
132,3,3002,"Business Analyst",2022-01-07,NULL,0,NULL,"Not completed"
133,2,3056,"Data Analyst",2022-04-03,NULL,0,NULL,"Not completed"
134,3,3056,"Business Analyst",2022-04-03,NULL,0,NULL,"Not completed"
135,2,3062,"Data Analyst",2022-01-31,NULL,0,NULL,"Not completed"
136,1,3080,"Data Scientist",2022-08-06,NULL,0,NULL,"Not completed"
137,1,3103,"Data Scientist",2022-06-22,NULL,0,NULL,"Not completed"
138,2,3115,"Data Analyst",2022-02-18,NULL,0,NULL,"Not completed"
139,1,3183,"Data Scientist",2022-02-17,NULL,0,NULL,"Not completed"
140,2,3183,"Data Analyst",2022-01-26,NULL,0,NULL,"Not completed"
141,2,3195,"Data Analyst",2022-01-12,NULL,0,NULL,"Not completed"
142,2,3239,"Data Analyst",2022-03-11,NULL,0,NULL,"Not completed"
143,1,3247,"Data Scientist",2022-04-26,NULL,0,NULL,"Not completed"
144,2,3260,"Data Analyst",2022-10-02,NULL,0,NULL,"Not completed"
145,2,3297,"Data Analyst",2022-07-31,NULL,0,NULL,"Not completed"
146,1,3310,"Data Scientist",2022-10-04,NULL,0,NULL,"Not completed"
147,2,3310,"Data Analyst",2022-10-04,NULL,0,NULL,"Not completed"
148,2,3360,"Data Analyst",2022-07-18,NULL,0,NULL,"Not completed"
149,2,3416,"Data Analyst",2022-02-22,NULL,0,NULL,"Not completed"
150,1,3423,"Data Scientist",2022-03-27,NULL,0,NULL,"Not completed"
151,3,3478,"Business Analyst",2022-09-04,NULL,0,NULL,"Not completed"
152,2,3494,"Data Analyst",2022-09-07,NULL,0,NULL,"Not completed"
153,1,3541,"Data Scientist",2022-06-25,NULL,0,NULL,"Not completed"
154,2,3550,"Data Analyst",2022-02-08,NULL,0,NULL,"Not completed"
155,1,3577,"Data Scientist",2022-05-14,2023-03-05,1,295,"91 to 365 days"
156,1,3643,"Data Scientist",2022-01-23,NULL,0,NULL,"Not completed"
157,2,3749,"Data Analyst",2022-01-14,NULL,0,NULL,"Not completed"
158,1,3751,"Data Scientist",2022-09-20,NULL,0,NULL,"Not completed"
159,2,3817,"Data Analyst",2022-04-21,NULL,0,NULL,"Not completed"
160,3,3817,"Business Analyst",2022-04-21,NULL,0,NULL,"Not completed"
161,3,3824,"Business Analyst",2022-10-17,NULL,0,NULL,"Not completed"
162,1,3830,"Data Scientist",2022-05-04,NULL,0,NULL,"Not completed"
163,2,3852,"Data Analyst",2022-03-13,NULL,0,NULL,"Not completed"
164,2,3856,"Data Analyst",2022-02-12,NULL,0,NULL,"Not completed"
165,2,3862,"Data Analyst",2022-01-12,NULL,0,NULL,"Not completed"
166,1,3875,"Data Scientist",2022-06-25,NULL,0,NULL,"Not completed"
167,2,3887,"Data Analyst",2022-01-28,NULL,0,NULL,"Not completed"
168,2,3938,"Data Analyst",2022-10-03,NULL,0,NULL,"Not completed"
169,1,4011,"Data Scientist",2022-04-02,NULL,0,NULL,"Not completed"
170,1,4059,"Data Scientist",2022-02-14,NULL,0,NULL,"Not completed"
171,1,4078,"Data Scientist",2022-06-29,NULL,0,NULL,"Not completed"
172,2,4107,"Data Analyst",2022-03-24,NULL,0,NULL,"Not completed"
173,2,4141,"Data Analyst",2022-01-13,NULL,0,NULL,"Not completed"
174,3,4141,"Business Analyst",2022-01-13,NULL,0,NULL,"Not completed"
175,2,4194,"Data Analyst",2022-05-16,NULL,0,NULL,"Not completed"
176,2,4205,"Data Analyst",2022-04-03,NULL,0,NULL,"Not completed"
177,3,4232,"Business Analyst",2022-08-15,NULL,0,NULL,"Not completed"
178,1,4242,"Data Scientist",2022-02-01,NULL,0,NULL,"Not completed"
179,2,4242,"Data Analyst",2022-03-25,NULL,0,NULL,"Not completed"
180,3,4242,"Business Analyst",2022-07-09,NULL,0,NULL,"Not completed"
181,2,4266,"Data Analyst",2022-01-19,NULL,0,NULL,"Not completed"
182,3,4266,"Business Analyst",2022-06-15,NULL,0,NULL,"Not completed"
183,1,4336,"Data Scientist",2022-03-04,NULL,0,NULL,"Not completed"
184,1,4371,"Data Scientist",2022-06-12,NULL,0,NULL,"Not completed"
185,2,4392,"Data Analyst",2022-05-30,NULL,0,NULL,"Not completed"
186,3,4404,"Business Analyst",2022-09-17,NULL,0,NULL,"Not completed"
187,2,4408,"Data Analyst",2022-01-04,NULL,0,NULL,"Not completed"
188,3,4408,"Business Analyst",2022-01-04,NULL,0,NULL,"Not completed"
189,2,4430,"Data Analyst",2022-07-22,NULL,0,NULL,"Not completed"
190,3,4441,"Business Analyst",2022-09-11,NULL,0,NULL,"Not completed"
191,2,4514,"Data Analyst",2022-06-19,NULL,0,NULL,"Not completed"
192,1,4558,"Data Scientist",2022-04-06,NULL,0,NULL,"Not completed"
193,2,4558,"Data Analyst",2022-04-06,NULL,0,NULL,"Not completed"
194,3,4558,"Business Analyst",2022-04-06,NULL,0,NULL,"Not completed"
195,1,4658,"Data Scientist",2022-08-30,NULL,0,NULL,"Not completed"
196,2,4691,"Data Analyst",2022-05-04,NULL,0,NULL,"Not completed"
197,3,4691,"Business Analyst",2022-05-04,NULL,0,NULL,"Not completed"
198,1,4696,"Data Scientist",2022-02-22,NULL,0,NULL,"Not completed"
199,2,4763,"Data Analyst",2022-08-17,NULL,0,NULL,"Not completed"
200,2,4874,"Data Analyst",2022-05-14,NULL,0,NULL,"Not completed"
201,3,4874,"Business Analyst",2022-05-20,NULL,0,NULL,"Not completed"
202,2,4884,"Data Analyst",2022-02-18,NULL,0,NULL,"Not completed"
203,2,5016,"Data Analyst",2022-07-28,NULL,0,NULL,"Not completed"
204,2,5080,"Data Analyst",2022-06-18,NULL,0,NULL,"Not completed"
205,1,5142,"Data Scientist",2022-05-20,NULL,0,NULL,"Not completed"
206,2,5221,"Data Analyst",2022-06-10,NULL,0,NULL,"Not completed"
207,1,5253,"Data Scientist",2022-02-01,NULL,0,NULL,"Not completed"
208,1,5334,"Data Scientist",2022-06-02,NULL,0,NULL,"Not completed"
209,1,5389,"Data Scientist",2022-02-15,NULL,0,NULL,"Not completed"
210,1,5583,"Data Scientist",2022-06-22,NULL,0,NULL,"Not completed"
211,2,5583,"Data Analyst",2022-07-13,NULL,0,NULL,"Not completed"
212,2,5691,"Data Analyst",2022-06-28,NULL,0,NULL,"Not completed"
213,1,5827,"Data Scientist",2022-04-30,NULL,0,NULL,"Not completed"
214,2,5827,"Data Analyst",2022-02-13,2022-04-30,1,76,"61 to 90 days"
215,3,5836,"Business Analyst",2022-01-15,NULL,0,NULL,"Not completed"
216,1,5944,"Data Scientist",2022-06-02,NULL,0,NULL,"Not completed"
217,2,5974,"Data Analyst",2022-01-03,2022-01-23,1,20,"8 to 30 days"
218,1,6011,"Data Scientist",2022-03-20,NULL,0,NULL,"Not completed"
219,2,6053,"Data Analyst",2022-05-21,2022-12-15,1,208,"91 to 365 days"
220,2,6063,"Data Analyst",2022-01-23,NULL,0,NULL,"Not completed"
221,1,6164,"Data Scientist",2022-09-19,NULL,0,NULL,"Not completed"
222,2,6164,"Data Analyst",2022-05-30,NULL,0,NULL,"Not completed"
223,1,6165,"Data Scientist",2022-06-05,NULL,0,NULL,"Not completed"
224,2,6165,"Data Analyst",2022-06-05,NULL,0,NULL,"Not completed"
225,2,6239,"Data Analyst",2022-08-09,NULL,0,NULL,"Not completed"
226,1,6363,"Data Scientist",2022-01-24,NULL,0,NULL,"Not completed"
227,3,6426,"Business Analyst",2022-02-24,NULL,0,NULL,"Not completed"
228,1,6448,"Data Scientist",2022-06-20,NULL,0,NULL,"Not completed"
229,3,6448,"Business Analyst",2022-03-06,NULL,0,NULL,"Not completed"
230,2,6547,"Data Analyst",2022-02-07,NULL,0,NULL,"Not completed"
231,2,6588,"Data Analyst",2022-03-01,NULL,0,NULL,"Not completed"
232,2,6589,"Data Analyst",2022-03-20,NULL,0,NULL,"Not completed"
233,1,6618,"Data Scientist",2022-03-17,NULL,0,NULL,"Not completed"
234,2,6618,"Data Analyst",2022-03-02,NULL,0,NULL,"Not completed"
235,1,6657,"Data Scientist",2022-06-19,NULL,0,NULL,"Not completed"
236,1,6723,"Data Scientist",2022-07-20,NULL,0,NULL,"Not completed"
237,1,6773,"Data Scientist",2022-06-11,NULL,0,NULL,"Not completed"
238,2,6773,"Data Analyst",2022-09-21,NULL,0,NULL,"Not completed"
239,2,6787,"Data Analyst",2022-01-15,NULL,0,NULL,"Not completed"
240,3,6808,"Business Analyst",2022-10-19,NULL,0,NULL,"Not completed"
241,2,6862,"Data Analyst",2022-03-03,NULL,0,NULL,"Not completed"
242,1,6930,"Data Scientist",2022-01-04,NULL,0,NULL,"Not completed"
243,2,6930,"Data Analyst",2022-01-04,NULL,0,NULL,"Not completed"
244,3,6932,"Business Analyst",2022-03-30,NULL,0,NULL,"Not completed"
245,1,6971,"Data Scientist",2022-08-15,NULL,0,NULL,"Not completed"
246,3,7037,"Business Analyst",2022-04-14,NULL,0,NULL,"Not completed"
247,2,7069,"Data Analyst",2022-01-19,NULL,0,NULL,"Not completed"
248,2,7099,"Data Analyst",2022-08-08,NULL,0,NULL,"Not completed"
249,1,7217,"Data Scientist",2022-06-29,NULL,0,NULL,"Not completed"
250,3,7291,"Business Analyst",2022-03-08,NULL,0,NULL,"Not completed"
251,3,7325,"Business Analyst",2022-01-19,NULL,0,NULL,"Not completed"
252,1,7329,"Data Scientist",2022-01-27,NULL,0,NULL,"Not completed"
253,1,7331,"Data Scientist",2022-01-15,NULL,0,NULL,"Not completed"
254,2,7331,"Data Analyst",2022-07-20,NULL,0,NULL,"Not completed"
255,1,7343,"Data Scientist",2022-01-23,NULL,0,NULL,"Not completed"
256,1,7432,"Data Scientist",2022-02-16,NULL,0,NULL,"Not completed"
257,1,7521,"Data Scientist",2022-04-08,NULL,0,NULL,"Not completed"
258,2,7548,"Data Analyst",2022-04-15,NULL,0,NULL,"Not completed"
259,3,7548,"Business Analyst",2022-04-15,NULL,0,NULL,"Not completed"
260,2,7642,"Data Analyst",2022-01-19,NULL,0,NULL,"Not completed"
261,1,7684,"Data Scientist",2022-02-16,NULL,0,NULL,"Not completed"
262,2,7955,"Data Analyst",2022-05-27,NULL,0,NULL,"Not completed"
263,1,7962,"Data Scientist",2022-10-10,NULL,0,NULL,"Not completed"
